event_id,sport_key,commence_time,home_team,away_team,bookmaker,bookmaker_title,home_odds,draw_odds,away_odds,home_link,draw_link,away_link,combined_product
9c2eb7c53fbd864220cd1181ba14fe4d,soccer_italy_serie_a,2025-10-05T13:00:00Z,Fiorentina,AS Roma,betfair_ex_eu,Betfair,3.3,3.2,2.58,https://www.betfair.com/exchange/plus/football/market/1.248073501,https://www.betfair.com/exchange/plus/football/market/1.248073501,https://www.betfair.com/exchange/plus/football/market/1.248073501,27.2448
9c2eb7c53fbd864220cd1181ba14fe4d,soccer_italy_serie_a,2025-10-05T13:00:00Z,Fiorentina,AS Roma,matchbook,Matchbook,3.3,3.2,2.56,https://www.matchbook.com/events/soccer/italy/italy-serie-a/31252889393400061/,https://www.matchbook.com/events/soccer/italy/italy-serie-a/31252889393400061/,https://www.matchbook.com/events/soccer/italy/italy-serie-a/31252889393400061/,27.033600000000003
1a7d9a230fc5e77b5fbf420993a8eb93,soccer_epl,2025-10-05T13:00:00Z,Everton,Crystal Palace,betfair_ex_eu,Betfair,2.8,3.2,2.98,https://www.betfair.com/exchange/plus/football/market/1.248023163,https://www.betfair.com/exchange/plus/football/market/1.248023163,https://www.betfair.com/exchange/plus/football/market/1.248023163,26.700799999999997
1a7d9a230fc5e77b5fbf420993a8eb93,soccer_epl,2025-10-05T13:00:00Z,Everton,Crystal Palace,matchbook,Matchbook,2.8,3.2,2.98,https://www.matchbook.com/events/soccer/england/english-premier-league/31244056039200061/,https://www.matchbook.com/events/soccer/england/english-premier-league/31244056039200061/,https://www.matchbook.com/events/soccer/england/english-premier-league/31244056039200061/,26.700799999999997
1a7d9a230fc5e77b5fbf420993a8eb93,soccer_epl,2025-10-05T13:00:00Z,Everton,Crystal Palace,coolbet,Coolbet,2.77,3.18,2.9,https://www.coolbet.com/en/sports/match/4420209,https://www.coolbet.com/en/sports/match/4420209,https://www.coolbet.com/en/sports/match/4420209,25.54494
9c2eb7c53fbd864220cd1181ba14fe4d,soccer_italy_serie_a,2025-10-05T13:00:00Z,Fiorentina,AS Roma,pinnacle,Pinnacle,3.25,3.19,2.46,https://www.pinnacle.com/en/soccer/italy-serie-a/roma-vs-fiorentina/1615845210/,https://www.pinnacle.com/en/soccer/italy-serie-a/roma-vs-fiorentina/1615845210/,https://www.pinnacle.com/en/soccer/italy-serie-a/roma-vs-fiorentina/1615845210/,25.50405
1a7d9a230fc5e77b5fbf420993a8eb93,soccer_epl,2025-10-05T13:00:00Z,Everton,Crystal Palace,unibet_se,Unibet (SE),2.8,3.25,2.8,https://www.unibet.se/betting/sports/event/1024043905,https://www.unibet.se/betting/sports/event/1024043905,https://www.unibet.se/betting/sports/event/1024043905,25.479999999999997
1a7d9a230fc5e77b5fbf420993a8eb93,soccer_epl,2025-10-05T13:00:00Z,Everton,Crystal Palace,unibet_nl,Unibet (NL),2.8,3.25,2.8,,,,25.479999999999997
6da729437080e553fb91c8eb73ad3ae8,soccer_austria_bundesliga,2025-10-05T12:31:00Z,Rheindorf Altach,Sturm Graz,betfair_ex_eu,Betfair,3.15,2.82,2.84,https://www.betfair.com/exchange/plus/football/market/1.248358315,https://www.betfair.com/exchange/plus/football/market/1.248358315,https://www.betfair.com/exchange/plus/football/market/1.248358315,25.227719999999998
9c2eb7c53fbd864220cd1181ba14fe4d,soccer_italy_serie_a,2025-10-05T13:00:00Z,Fiorentina,AS Roma,coolbet,Coolbet,3.2,3.15,2.5,https://www.coolbet.com/en/sports/match/4424966,https://www.coolbet.com/en/sports/match/4424966,https://www.coolbet.com/en/sports/match/4424966,25.2
